processo_ano;denominacao;denominacao_completa;categoria;classe_subclasse;municipio;distrito;ato_legal;livro_de_tombo
PTE138/2008;Centro histórico de Pitangui;Centro histórico de Pitangui;CH;"Conjunto urbano; templo; escola";Pitangui;Pitangui;Deliberação CONEP 09/2008, de 04 de setembro de 2008;II, III
PTE139/2008;Capela de Nossa Senhora da Glória;Capela de Nossa Senhora da Glória;BI;"Edificação; templo";Carandaí;Hermilo Alves;Deliberação CONEP 07/2015, de 16 de dezembro de 2015;II, III, IV
PTE140/2008;Casa JK;Casa JK;BI;Edificação e acervo;Belo Horizonte;Belo Horizonte;Deliberação CONEP 02/2009, de 30 de junho de 2009;II, III, IV
PTE141/2009;Conjunto arquitetônico e paisagístico da Capela de Santana e da Fazenda Pé do Morro;Conjunto arquitetônico e paisagístico da Capela de Santana e da Fazenda Pé do Morro;CP;Conjunto rural;Ouro Branco;Ouro Branco;Deliberação CONEP 03/2009, de 17 de dezembro de 2009;I, II, III
PTE142/2010;Ruínas do casarão do Capitão Henrique;Ruínas do casarão do Capitão Henrique;BI;Sítio arqueológico;Oliveira;Oliveira;Deliberação CONEP 03/2010, de 23 de março de 2010;I, III
PTE143/2010;Conjunto paisagístico da Serra dos Cristais;Conjunto paisagístico da Serra dos Cristais;CP;"Patrimônio Natural; sítio arqueológico";Diamantina;"Diamantina; Extração";Deliberação CONEP 04/2010 de 19 de novembro de 2010;I, III
PTE144/2012;Casarão do Registro do Paraibuna;Conjunto paisagístico do Casarão do Registro do Paraibuna;CP;Edificação;Simão Pereira;Simão Pereira;Deliberação CONEP 01/2012, de 12 março de 2012;I, II, III
PTE145/2013;Centro histórico de Oliveira;Centro histórico de Oliveira;CH;"Conjunto urbano; templo; escola";Oliveira;Oliveira;Deliberação CONEP 03/2013 de 31 de outubro de 2013;I, II, III
PTE146/2014;Conjunto arquitetônico ferroviário e paisagístico de Ribeirão Vermelho;Conjunto arquitetônico ferroviário e paisagístico de Ribeirão Vermelho;CP;"Conjunto arquitetônico; ferrovia";Ribeirão Vermelho;Ribeirão Vermelho;Deliberação CONEP 03/2014, de 19 de agosto de 2014;I, II, III
PTE147/2014;Conjunto arquitetônico e paisagístico da Fazenda Santa Clara;Conjunto arquitetônico e paisagístico da Fazenda Santa Clara;CP;Conjunto rural;Santa Rita do Jacutinga;Santa Rita do Jacutinga;Deliberação CONEP 04/2014, de 19 de agosto de 2014;I, II, III
PTE148/2014;Conjunto arquitetônico, paisagístico e arqueológico das Escolas Dom Bosco;Conjunto arquitetônico, paisagístico e arqueológico das Escolas Dom Bosco - antigo Quartel do Regimento de Cavalaria de Minas Gerais;CP;"Conjunto arquitetônico; escola";Ouro Preto;Cachoeira do Campo;Deliberação CONEP 08/2014, 03 de dezembro de 2014;I, III
PTE149/2015;Edifício da antiga sede do DOPS-MG;Edifício da antiga sede do Departamento de Ordem Política e Social de Minas Gerais – DOPS-MG;BI;Edificação;Belo Horizonte;Belo Horizonte;Deliberação CONEP 03/2016, de 23 de fevereiro de 2016;III
PTE151/2017;Hospital Cassiano Campolina;Hospital Cassiano Campolina;BI;"Edificação; hospital";Entre Rios de Minas;Entre Rios de Minas;Deliberação CONEP 17/2018 de 18 de setembro de 2018;II, III, IV
PTE155/2013;Ruína da Capela de Mocambinho;Ruína da Capela de Mocambinho;BI;"Edificação; ruína; templo";Jaíba;Jaíba;Deliberação CONEP 15/2017 de 22 de dezembro de 2017;I, III
PTE156/2015;Centro histórico de Grão Mogol;Centro histórico de Grão Mogol;CH;"Conjunto urbano; templo";Grão Mogol;Grão Mogol;Deliberação CONEP 02/2017 de 23 de maio de 2017;I, II, III
PTE158/2016;Túnel da Mantiqueira;Túnel da Mantiqueira;BI;"Edificação; ferrovia";Passa Quatro;Pinheirinhos;Deliberação CONEP 06/2017, de 11 de agosto de 2017;III
PTE159/2016;Edifício do antigo Banco Mineiro da Produção;Edifício do antigo Banco Mineiro da Produção;BI;Edificação;Belo Horizonte;Belo Horizonte;Deliberação CONEP 08/2016 de 25 de outubro de 2016;II, III
PTE160/2016;Antiga Escola de Aprendizes Marinheiros;Antiga Escola de Aprendizes Marinheiros;BI;"Edificação; escola";Buritizeiro;Buritizeiro;Deliberação CONEP 04/2018 de 20 de fevereiro de 2018;III
PTE162/2018;Capela de Nossa Senhora das Mercês;Capela de Nossa Senhora das Mercês;BI;"Edificação; templo";Mariana;Santa Rita Durão;Deliberação CONEP 07/2020 de 17 de setembro de 2020;II, III
PTE163/2018;Serra do Curral;Serra do Curral;CP;"Patrimônio Natural; sítio arqueológico";Belo Horizonte, Nova Lima e Sabará;Belo Horizonte, Nova Lima e Sabará;Portaria IEPHA 22/2022 de 19 de junho de 2022;0
PTE164/2018;Parque das Águas de São Lourenço;Parque das Águas de São Lourenço;CP;"Estrutura ou equipamento urbano; parque; balneário";São Lourenço;São Lourenço;Deliberação CONEP 08/2020 de 17 de setembro de 2020;III
PTE180/2020;Lago de Furnas e Lago do Peixoto;Lago de Furnas e Lago do Peixoto;CP;Patrimônio Natural;Diversos (30 municípios);Diversos;Emenda à Constituição nº 106, de 4/12/2020 - Constituição Estadual de 1989 - ADCT art. 84-A;0
